Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Signal Gained Profit %
01/03/2021 07:56,#Delta 15 staging,,Binance Futures,BEL/USDT,Cancelled,Isolated (5.0X),Long,4,12.7069
01/03/2021 07:56,#Delta 15 staging,,Binance Futures,BZRX/USDT,All Targets Achieved,Isolated (5.0X),Long,5,15.2157
01/03/2021 07:55,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Long,3,10.955
01/03/2021 07:51,#Delta 15 staging,,Binance Futures,LRC/USDT,Cancelled,Isolated (5.0X),Long,4,12.7333
01/03/2021 07:39,#Delta 15 staging,,Binance Futures,RUNE/USDT,All Targets Achieved,Isolated (5.0X),Long,5,15.2498
01/03/2021 07:38,#Delta 15 staging,,Binance Futures,REN/USDT,Cancelled,Isolated (5.0X),Long,4,11.75
01/03/2021 07:15,#Delta 15 staging,,Binance Futures,FLM/USDT,All Targets Achieved,Isolated (5.0X),Long,5,17.1841
01/03/2021 07:08,#Delta 15 staging,,Binance Futures,NEAR/USDT,Cancelled,Isolated (5.0X),Short,0,-20.3384
01/03/2021 06:47,#Delta 15 staging,,Binance Futures,BAND/USDT,Cancelled,Isolated (5.0X),Short,0,-8.8036
01/03/2021 06:45,#Delta 15 staging,,Binance Futures,TRB/USDT,Cancelled,Isolated (5.0X),Short,0,-8.2057
01/03/2021 06:44,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Cancelled,Isolated (5.0X),Short,0,-13.4249
01/03/2021 06:44,#Delta 15 staging,,Binance Futures,BEL/USDT,Cancelled,Isolated (5.0X),Short,0,-7.6859
01/03/2021 06:44,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Short,0,-10.3577
01/03/2021 06:43,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Short,0,-7.8633
01/03/2021 06:42,#Delta 15 staging,,Binance Futures,SOL/USDT,Cancelled,Isolated (5.0X),Short,1,-4.135
01/03/2021 06:39,#Delta 15 staging,,Binance Futures,BAL/USDT,Cancelled,Isolated (5.0X),Short,0,-6.3401
01/03/2021 06:35,#Delta 15 staging,,Binance Futures,CRV/USDT,Cancelled,Isolated (5.0X),Short,1,-3.6016
01/03/2021 06:32,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Short,1,-5.1429
01/03/2021 06:29,#Delta 15 staging,,Binance Futures,AXS/USDT,Cancelled,Isolated (5.0X),Short,1,-4.4051
01/03/2021 06:27,#Delta 15 staging,,Binance Futures,NEAR/USDT,Cancelled,Isolated (5.0X),Long,1,-7.1935
01/03/2021 06:25,#Delta 15 staging,,Binance Futures,BEL/USDT,Cancelled,Isolated (5.0X),Long,0,-6.9627
01/03/2021 06:24,#Delta 15 staging,,Binance Futures,AVAX/USDT,Stopped Out,Isolated (5.0X),Long,0,-15.7087
01/03/2021 06:18,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Cancelled,Isolated (5.0X),Long,0,-15.0575
01/03/2021 06:15,#Delta 15 staging,,Binance Futures,CRV/USDT,Cancelled,Isolated (5.0X),Long,0,-8.1214
01/03/2021 06:08,#Delta 15 staging,,Binance Futures,BAND/USDT,Cancelled,Isolated (5.0X),Long,1,-3.6924
01/03/2021 05:45,#Delta 15 staging,,Binance Futures,BLZ/USDT,Cancelled,Isolated (5.0X),Long,0,0
01/03/2021 05:38,#Delta 15 staging,,Binance Futures,SRM/USDT,Partial Targets Achieved,Isolated (5.0X),Long,2,3.4992
01/03/2021 05:32,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Long,0,-10.4369
01/03/2021 05:27,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Long,0,-10.7075
01/03/2021 05:24,#Delta 15 staging,,Binance Futures,SUSHI/USDT,Partial Targets Achieved,Isolated (5.0X),Long,4,11.4989
01/03/2021 05:15,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Long,0,-9.2462
01/03/2021 05:09,#Delta 15 staging,,Binance Futures,TRB/USDT,Cancelled,Isolated (5.0X),Long,0,-6.0962
01/03/2021 05:08,#Delta 15 staging,,Binance Futures,BAL/USDT,Cancelled,Isolated (5.0X),Long,0,-7.1533
01/03/2021 05:07,#Delta 15 staging,,Binance Futures,AXS/USDT,Cancelled,Isolated (5.0X),Long,0,-8.9486
01/03/2021 05:05,#Delta 15 staging,,Binance Futures,COMP/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0019
01/03/2021 04:37,#Delta 15 staging,,Binance Futures,HNT/USDT,Cancelled,Isolated (5.0X),Short,1,-2.2275
01/03/2021 04:30,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Short,0,-12.1722
01/03/2021 04:21,#Delta 15 staging,,Binance Futures,DOGE/USDT,Cancelled,Isolated (5.0X),Short,1,1.2191
01/03/2021 04:19,#Delta 15 staging,,Binance Futures,BZRX/USDT,Partial Targets Achieved,Isolated (5.0X),Short,3,10.013
01/03/2021 04:18,#Delta 15 staging,,Binance Futures,RUNE/USDT,Partial Targets Achieved,Isolated (5.0X),Short,3,10.0004
01/03/2021 04:18,#Delta 15 staging,,Binance Futures,UNI/USDT,Cancelled,Isolated (5.0X),Short,2,4.0843
01/03/2021 04:15,#Delta 15 staging,,Binance Futures,SNX/USDT,Cancelled,Isolated (5.0X),Short,1,-2.3813
01/03/2021 04:14,#Delta 15 staging,,Binance Futures,SRM/USDT,Partial Targets Achieved,Isolated (5.0X),Short,3,10.001
01/03/2021 04:14,#Delta 15 staging,,Binance Futures,AAVE/USDT,Partial Targets Achieved,Isolated (5.0X),Short,3,11.8062
01/03/2021 04:13,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Short,1,-4.5576
01/03/2021 04:12,#Delta 15 staging,,Binance Futures,LRC/USDT,Cancelled,Isolated (5.0X),Short,2,5.1263
01/03/2021 03:59,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Short,1,-0.8695
01/03/2021 03:46,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Partial Targets Achieved,Isolated (5.0X),Short,3,10.0038
01/03/2021 03:46,#Delta 15 staging,,Binance Futures,NEAR/USDT,Partial Targets Achieved,Isolated (5.0X),Short,3,10.0032
01/03/2021 03:45,#Delta 15 staging,,Binance Futures,BAL/USDT,Cancelled,Isolated (5.0X),Short,1,-0.9069
01/03/2021 03:45,#Delta 15 staging,,Binance Futures,BEL/USDT,Cancelled,Isolated (5.0X),Short,1,0.1146
01/03/2021 03:45,#Delta 15 staging,,Binance Futures,AVAX/USDT,Partial Targets Achieved,Isolated (5.0X),Short,2,4.4087
01/03/2021 03:41,#Delta 15 staging,,Binance Futures,REN/USDT,Partial Targets Achieved,Isolated (5.0X),Short,2,3.4958
01/03/2021 03:36,#Delta 15 staging,,Binance Futures,CRV/USDT,Cancelled,Isolated (5.0X),Short,1,1.1044
01/03/2021 03:30,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Long,0,-5.1799
01/03/2021 03:28,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Long,0,-8.7239
01/03/2021 03:06,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Short,0,-9.482
01/03/2021 03:06,#Delta 15 staging,,Binance Futures,SUSHI/USDT,Cancelled,Isolated (5.0X),Short,1,-0.7801
01/03/2021 03:05,#Delta 15 staging,,Binance Futures,COMP/USDT,Cancelled,Isolated (5.0X),Short,2,3.7274
01/03/2021 02:58,#Delta 15 staging,,Binance Futures,TRB/USDT,Cancelled,Isolated (5.0X),Short,1,0.4417
01/03/2021 02:58,#Delta 15 staging,,Binance Futures,BLZ/USDT,Cancelled,Isolated (5.0X),Short,1,-3.5516
01/03/2021 02:57,#Delta 15 staging,,Binance Futures,FLM/USDT,Partial Targets Achieved,Isolated (5.0X),Short,3,10.0182
01/03/2021 02:56,#Delta 15 staging,,Binance Futures,AXS/USDT,Cancelled,Isolated (5.0X),Short,1,-2.5569
01/03/2021 02:55,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Short,0,-4.3734
01/03/2021 02:52,#Delta 15 staging,,Binance Futures,BAND/USDT,Cancelled,Isolated (5.0X),Short,1,1.7508
01/03/2021 02:00,#Delta 15 staging,,Binance Futures,HNT/USDT,Partial Targets Achieved,Isolated (5.0X),Long,2,3.5013
01/03/2021 01:45,#Delta 15 staging,,Binance Futures,CVC/USDT,Partial Targets Achieved,Isolated (5.0X),Short,2,4.4018
01/03/2021 01:15,#Delta 15 staging,,Binance Futures,SNX/USDT,Cancelled,Isolated (5.0X),Long,1,-0.4057
01/03/2021 01:00,#Delta 15 staging,,Binance Futures,AVAX/USDT,Partial Targets Achieved,Isolated (5.0X),Long,4,13.3988
01/03/2021 01:00,#Delta 15 staging,,Binance Futures,UNI/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,11.8944
01/03/2021 00:32,#Delta 15 staging,,Binance Futures,AAVE/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0002
01/03/2021 00:30,#Delta 15 staging,,Binance Futures,SUSHI/USDT,Cancelled,Isolated (5.0X),Long,1,-1.2932
01/03/2021 00:30,#Delta 15 staging,,Binance Futures,NEAR/USDT,Cancelled,Isolated (5.0X),Long,0,0
01/03/2021 00:30,#Delta 15 staging,,Binance Futures,SOL/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,9.9999
01/03/2021 00:22,#Delta 15 staging,,Binance Futures,REN/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,11.8806
01/03/2021 00:20,#Delta 15 staging,,Binance Futures,CRV/USDT,Cancelled,Isolated (5.0X),Long,2,6.05
01/03/2021 00:20,#Delta 15 staging,,Binance Futures,DOGE/USDT,Cancelled,Isolated (5.0X),Long,0,-3.2745
01/03/2021 00:18,#Delta 15 staging,,Binance Futures,RUNE/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.002
01/03/2021 00:18,#Delta 15 staging,,Binance Futures,YFI/USDT,Partial Targets Achieved,Isolated (5.0X),Long,4,11.5
01/03/2021 00:17,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Long,2,4.1934
28/02/2021 23:53,#Delta 15 staging,,Binance Futures,CRV/USDT,Cancelled,Isolated (5.0X),Short,0,-15.6288
28/02/2021 23:53,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Short,0,-11.1689
28/02/2021 23:52,#Delta 15 staging,,Binance Futures,UNI/USDT,Cancelled,Isolated (5.0X),Short,0,-12.9556
28/02/2021 23:49,#Delta 15 staging,,Binance Futures,HNT/USDT,Stopped Out,Isolated (5.0X),Short,0,-15.5912
28/02/2021 23:49,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Short,0,-10.1121
28/02/2021 23:49,#Delta 15 staging,,Binance Futures,AAVE/USDT,Stopped Out,Isolated (5.0X),Short,0,-15.5924
28/02/2021 23:47,#Delta 15 staging,,Binance Futures,SUSHI/USDT,Cancelled,Isolated (5.0X),Short,0,-12.427
28/02/2021 23:45,#Delta 15 staging,,Binance Futures,AVAX/USDT,Partial Targets Achieved,Isolated (5.0X),Short,1,-10.7507
28/02/2021 23:45,#Delta 15 staging,,Binance Futures,REN/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 23:45,#Delta 15 staging,,Binance Futures,SNX/USDT,Cancelled,Isolated (5.0X),Short,1,-6.8587
28/02/2021 23:45,#Delta 15 staging,,Binance Futures,RUNE/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 23:42,#Delta 15 staging,,Binance Futures,NEAR/USDT,Cancelled,Isolated (5.0X),Short,1,-4.8259
28/02/2021 23:41,#Delta 15 staging,,Binance Futures,SOL/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 23:22,#Delta 15 staging,,Binance Futures,BAL/USDT,Cancelled,Isolated (5.0X),Long,1,5.6495
28/02/2021 23:21,#Delta 15 staging,,Binance Futures,SOL/USDT,Cancelled,Isolated (5.0X),Long,0,-15.0304
28/02/2021 23:21,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Long,0,-10.7325
28/02/2021 23:15,#Delta 15 staging,,Binance Futures,HNT/USDT,Cancelled,Isolated (5.0X),Long,1,-9.1173
28/02/2021 23:10,#Delta 15 staging,,Binance Futures,UNI/USDT,Cancelled,Isolated (5.0X),Long,0,-10.5092
28/02/2021 23:10,#Delta 15 staging,,Binance Futures,AAVE/USDT,Stopped Out,Isolated (5.0X),Long,0,-15.708
28/02/2021 23:02,#Delta 15 staging,,Binance Futures,CRV/USDT,Cancelled,Isolated (5.0X),Long,0,-12.6412
28/02/2021 23:02,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Long,2,7.9056
28/02/2021 23:02,#Delta 15 staging,,Binance Futures,SRM/USDT,Cancelled,Isolated (5.0X),Long,0,0
28/02/2021 23:02,#Delta 15 staging,,Binance Futures,FLM/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0032
28/02/2021 23:02,#Delta 15 staging,,Binance Futures,BLZ/USDT,Cancelled,Isolated (5.0X),Long,4,12.2192
28/02/2021 23:02,#Delta 15 staging,,Binance Futures,LRC/USDT,Cancelled,Isolated (5.0X),Long,0,0
28/02/2021 23:02,#Delta 15 staging,,Binance Futures,BAND/USDT,Cancelled,Isolated (5.0X),Long,0,0
28/02/2021 23:01,#Delta 15 staging,,Binance Futures,TRB/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,9.9994
28/02/2021 23:01,#Delta 15 staging,,Binance Futures,BZRX/USDT,Cancelled,Isolated (5.0X),Long,0,0
28/02/2021 22:53,#Delta 15 staging,,Binance Futures,AVAX/USDT,Partial Targets Achieved,Isolated (5.0X),Long,2,3.5001
28/02/2021 22:48,#Delta 15 staging,,Binance Futures,COMP/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0023
28/02/2021 22:34,#Delta 15 staging,,Binance Futures,AVAX/USDT,Cancelled,Isolated (5.0X),Short,0,-10.3965
28/02/2021 22:34,#Delta 15 staging,,Binance Futures,UNI/USDT,Cancelled,Isolated (5.0X),Short,0,-8.9085
28/02/2021 22:34,#Delta 15 staging,,Binance Futures,DOGE/USDT,Partial Targets Achieved,Isolated (5.0X),Short,2,3.5014
28/02/2021 22:34,#Delta 15 staging,,Binance Futures,BLZ/USDT,Stopped Out,Isolated (5.0X),Short,0,-15.458
28/02/2021 22:33,#Delta 15 staging,,Binance Futures,AXS/USDT,Cancelled,Isolated (5.0X),Short,0,-8.1283
28/02/2021 22:33,#Delta 15 staging,,Binance Futures,RLC/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:33,#Delta 15 staging,,Binance Futures,BZRX/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:33,#Delta 15 staging,,Binance Futures,CRV/USDT,Cancelled,Isolated (5.0X),Short,0,-11.469
28/02/2021 22:33,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Short,1,-4.4524
28/02/2021 22:33,#Delta 15 staging,,Binance Futures,BAL/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:32,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:32,#Delta 15 staging,,Binance Futures,TRB/USDT,Cancelled,Isolated (5.0X),Short,1,-2.836
28/02/2021 22:32,#Delta 15 staging,,Binance Futures,CVC/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:32,#Delta 15 staging,,Binance Futures,BAND/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:32,#Delta 15 staging,,Binance Futures,LRC/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:32,#Delta 15 staging,,Binance Futures,AAVE/USDT,Cancelled,Isolated (5.0X),Short,0,0
28/02/2021 22:30,#Delta 15 staging,,Binance Futures,FLM/USDT,Partial Targets Achieved,Isolated (5.0X),Short,2,3.4993
28/02/2021 22:21,#Delta 15 staging,,Binance Futures,SOL/USDT,Cancelled,Isolated (5.0X),Short,1,-3.3014
28/02/2021 22:18,#Delta 15 staging,,Binance Futures,SRM/USDT,Partial Targets Achieved,Isolated (5.0X),Short,2,3.5006
28/02/2021 22:17,#Delta 15 staging,,Binance Futures,BEL/USDT,Partial Targets Achieved,Isolated (5.0X),Short,2,3.5001
28/02/2021 22:17,#Delta 15 staging,,Binance Futures,YFI/USDT,Cancelled,Isolated (5.0X),Short,1,-3.2765
28/02/2021 22:01,#Delta 15 staging,,Binance Futures,COMP/USDT,Cancelled,Isolated (5.0X),Short,0,-6.5193
28/02/2021 21:15,#Delta 15 staging,,Binance Futures,HNT/USDT,Cancelled,Isolated (5.0X),Short,0,-11.5118
28/02/2021 19:46,#Delta 15 staging,,Binance Futures,SUSHI/USDT,Cancelled,Isolated (5.0X),Long,0,0
28/02/2021 19:01,#Delta 15 staging,,Binance Futures,AXS/USDT,Cancelled,Isolated (5.0X),Long,3,10.0984
28/02/2021 19:00,#Delta 15 staging,,Binance Futures,BLZ/USDT,Cancelled,Isolated (5.0X),Long,4,13.25
28/02/2021 19:00,#Delta 15 staging,,Binance Futures,NEAR/USDT,Partial Targets Achieved,Isolated (5.0X),Long,2,3.4984
28/02/2021 18:54,#Delta 15 staging,,Binance Futures,ALPHA/USDT,All Targets Achieved,Isolated (5.0X),Long,5,17.1609
28/02/2021 18:30,#Delta 15 staging,,Binance Futures,CVC/USDT,Cancelled,Isolated (5.0X),Long,4,12.6136
28/02/2021 18:30,#Delta 15 staging,,Binance Futures,YFII/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,9.9962
28/02/2021 18:12,#Delta 15 staging,,Binance Futures,BEL/USDT,Cancelled,Isolated (5.0X),Long,4,15.3305
